Links,Title,Address,Price,Floor,Living area,Rooms
https://www.otodom.pl/pl/oferta/mieszkanie-gotowe-do-wejscia-ID4xYHt,Mieszkanie gotowe do wejścia!,"ul. Macieja Dębskiego, Opatkowice, Swoszowice, Kraków, małopolskie",769000.0,1 piętro,53.81,3 pokoje
https://www.otodom.pl/pl/oferta/jasne-i-funkcjonalne-mieszkanie-z-loggia-ID4xYFn,Jasne i funkcjonalne mieszkanie z loggią.,"ul. Fatimska, Bieńczyce, Bieńczyce, Kraków, małopolskie",749000.0,1 piętro,58.38,3 pokoje
https://www.otodom.pl/pl/oferta/zielona-okolica-2-pokoje-osobna-kuchnia-krowodrza-ID4xYFe,Zielona okolica | 2 pokoje + osobna kuchnia | Krowodrza,"ul. Na Polach, Bronowice Wielkie, Prądnik Biały, Kraków, małopolskie",679000.0,2 piętro,50.46,2 pokoje
https://www.otodom.pl/pl/oferta/dwupokojowe-na-cichej-uliczce-starego-miasta-ID4xYEZ,Dwupokojowe na cichej uliczce Starego Miasta,"ul. Kurkowa, Wesoła Wschód, Grzegórzki, Kraków, małopolskie",698000.0,3 piętro,35.45,2 pokoje
https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-bronowice-ID4xYDo,Trzypokojowe mieszkanie Bronowice,"ul. Lucjana Rydla, Bronowice, Bronowice, Kraków, małopolskie",858000.0,3 piętro,66.0,3 pokoje
https://www.otodom.pl/pl/oferta/inwestycja-mieszkanie-w-centrum-krakowa-katowa-ID4xYBR,"Inwestycja/mieszkanie w centrum Krakowa, Kątowa","ul. Kątowa, Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",899000.0,parter,47.61,1 pokój
https://www.otodom.pl/pl/oferta/jasne-wyremontowana-kamienica-700m-od-rynku-ID4xYBG,"Jasne, wyremontowana kamienica 700m od Rynku!","Stare Miasto, Stare Miasto, Kraków, małopolskie",998640.0,2 piętro,42.0,2 pokoje
https://www.otodom.pl/pl/oferta/ostatnie-pietro-dabska-grzegorzki-taras-balkon-ID4xYBD,"ostatnie piętro, Dąbska, Grzegórzki, taras, balkon","ul. Dąbska, Dąbie, Grzegórzki, Kraków, małopolskie",1590000.0,5 piętro,68.78,3 pokoje
https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-wawel-grzegorzki-ID4xYAY,Mieszkanie z widokiem na Wawel. Grzegórzki,"Grzegórzki, Grzegórzki, Kraków, małopolskie",1280000.0,7 piętro,64.45,2 pokoje
https://www.otodom.pl/pl/oferta/2-pokojowe-studio-bronowice-male-premium-ID4xYx2,"2-pokojowe studio Bronowice Małe, premium","ul. Samuela Lindego, Bronowice, Bronowice, Kraków, małopolskie",795000.0,3 piętro,44.08,2 pokoje
https://www.otodom.pl/pl/oferta/dwupoziomowe-pod-wynajem-al-29-listopada-ID4xYvH,Dwupoziomowe | Pod wynajem | Al 29 listopada,"Aleja 29 Listopada, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",752402.0,10+ piętro,50.07,2 pokoje
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-idealne-pod-wynajem-okazja-ID4xYvG,Nowe mieszkanie | Idealne pod wynajem | Okazja,"Aleja 29 Listopada, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",561198.01,10 piętro,34.48,2 pokoje
https://www.otodom.pl/pl/oferta/2-poziomy-dla-inwestora-najlepsza-lokalizacja-ID4xYvE,2 poziomy | Dla inwestora | Najlepsza lokalizacja,"Aleja 29 Listopada, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",672532.0,10+ piętro,47.3,2 pokoje
https://www.otodom.pl/pl/oferta/dla-inwestora-al-29-listopada-10-pietro-z-widokiem-ID4xYvD,Dla inwestora|Al 29 listopada|10 piętro z widokiem,"Aleja 29 Listopada, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",583927.0,10 piętro,35.2,2 pokoje
https://www.otodom.pl/pl/oferta/3-pok-piwnica-8-8-m-kliny-zacisze-park-ID4xYvC,3 pok. • piwnica 8.8 m² • Kliny - Zacisze • PARK,"ul. Borkowska, Kliny, Swoszowice, Kraków, małopolskie",749000.0,1 piętro,50.51,3 pokoje
https://www.otodom.pl/pl/oferta/kawalerka-dla-inwestora-al-29-listopada-ID4xYvz,Kawalerka | Dla inwestora | Al 29 listopada,"Aleja 29 Listopada, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",467775.61,10 piętro,27.02,1 pokój
https://www.otodom.pl/pl/oferta/atrakcyjny-apartament-z-balkonem-w-zablociu-ID4xYvi,Atrakcyjny apartament z balkonem w Zabłociu!,"ul. Ślusarska, Zabłocie, Podgórze, Kraków, małopolskie",790680.0,5 piętro,35.94,2 pokoje
https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-z-widokiem-na-wisle-ID4xYtC,Wyjątkowy apartament z widokiem na Wisłę!,"ul. gen. Tadeusza Kościuszki, Zwierzyniec, Zwierzyniec, Kraków, małopolskie",10744500.0,1 piętro,165.26,3 pokoje
https://www.otodom.pl/pl/oferta/kurdwanow-2-pokoje-ogrodek-ID4xYt8,"Kurdwanów, 2 Pokoje, Ogródek","ul. Tuchowska, Piaski Wielkie, Podgórze Duchackie, Kraków, małopolskie",620000.0,parter,44.9,2 pokoje
https://www.otodom.pl/pl/oferta/nowe-mieszkanie-wysoki-standard-wynajete-ID4xYt0,"Nowe mieszkanie - wysoki standard, Wynajęte.","ul. Przyjaźni Polsko-Węgierskiej, Wola Duchacka, Podgórze Duchackie, Kraków, małopolskie",1450000.0,3 piętro,83.69,4 pokoje
https://www.otodom.pl/pl/oferta/2-pokoje0-rabaty-2-balkony-klucze-wrzesien-ID4xYsO,2 pokoje✅0%✅ Rabaty!✅2 balkony✅ klucze wrzesień,"ul. Powstańców, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",532163.0,2 piętro,35.71,2 pokoje
https://www.otodom.pl/pl/oferta/oddzielna-kuchnia-balkon-swietna-komunikacja-ID4xYq6,"Oddzielna kuchnia, balkon, świetna komunikacja","ul. Aleksandry 9, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",649000.0,4 piętro,49.85,2 pokoje
https://www.otodom.pl/pl/oferta/soltysowska-park-balkon-klima-pralnia-garderoba-ID4xYpE,Sołtysowska Park | Balkon | Klima | Pralnia | Garderoba,"ul. Sołtysowska, Łęg, Czyżyny, Kraków, małopolskie",1190000.0,2 piętro,58.29,3 pokoje
